EXCLUDE,Line Number,Location path code,Date/Video Link,Time of Day/ Timestamp,Context,Caregiver Question,Menu,Destination Word,,,Caregiver Response,Comments,
,851,J,,,,"Hello, how are you?",About me,,,,,,
,852,JE,,,,,Feeling,,,,yeah,,
,853,JEB,,,,,,Happy,,,,,
,854,JEBD,,,,,,I want to feel happy,,,I'm so glad,,
,855,JEBC,,,,,,I feel happy,,,Yay. Would you like a little sip of this?,"drinks tea, Jen navigates back to main",
TRUE,856,J,,,,,About me,,,,uh huh,,
TRUE,857,,,,,,My opinion,,,,"yeah, what's your opinion",Jen swaps tablet to the one with the my opinion menu,
TRUE,858,,,,,,,scary,,,"yeah,  did you hear a weird noise",3 NC scary,
TRUE,859,,,,,,,good idea,,,"uh huh, scary is like afraid, good idea is like YUM",,
TRUE,860,,,,,,,interesting,,,"yeah, interesting is like something that is hard and you think about it and you like thinking about it",,
TRUE,861,,,,,keep going,,bad idea,,,bad idea is something you don't like that somebody thinks about,,
TRUE,862,,,,,,,interesting,,,,,
TRUE,863,,,,,,,good idea,,,"yeah, good idea is something that somebody thinks about that you like, like it's a good idea to go outside, or a good idea to give Isabelle chicken, good idea to talk on the comm board, you like these things",,
TRUE,864,,,,,,,boring,,,,,
TRUE,865,,,,,,,boring,,,"boring, yeah, boring is something easy that you don't like",Jen navigates back,
,866,J,,,,,About me,,,,,,
,867,JD,,,,,Body,,,,,,
,868,JDL,,,,,Medicine,,,,,,
,869,JDLA,,,,,Back,,,,,,
,870,JDR,,,,,Types of ouch,,,,yeah,,
,871,JDRF,,,,,,What type of ouch,,,uh huh,"You used to have (touches) bone ouch, inside ouch, oops, outside ouch you used to have bone ouch outside ouch, yep those are the ouches you used to have",
,872,JDRE,,,,,,Sick ouch,,,,,
,873,JDRC,,,,,,Outside ouch,,,mmm hmm - outside ouch was your foot when you had an outside ouch (touches foot) when you see the outside of it,,
,874,JDRF,,,,,,What type of ouch,,,"uh huh, uh huh",[several NC touches],
,875,JDRE,,,,What kind of ouch is what,,Sick ouch,,,"sick ouch is when Mom, or you, or Isabelle, or whoever, we just lay down a lot because yeah our...",,
,876,JDRB,,,,,,Inside ouch,,,"yeah inside it hurts, so sick ouch is",overlap,
,877,JDRH,,,,,,I felt ouch,,,"mmm hmm, you did feel ouch",,
,878,JDRH,,,,,,I felt ouch,,,,2 NC,
,879,JDRE,,,,,,Sick ouch,,,mmm hmm,,
,880,JDRE,,,,,,Sick ouch,,,"Mom feels hot, when I'm sick ouch, very very very hot inside, and we have a tummy ouch and a head ouch",,
,881,JDRE,,,,,,Sick ouch,,,"Yeah, sick ouch is all these different kinds of ouches inside, and then sick ouch is like usually two - this is a week - it's like two weeks",,
,882,JDRE,,,,,,Sick ouch,,,"Sick ouch is usually two weeks, and sometimes we take medicine for sick ouch, yeah so usually, look, this is one week, look El, this is one week, week, week, week, week, sick ouch is two weeks. Do you want some other treats, here.",,
,883,D,,,,,To play,,,,uh huh,,
,884,C,,,,,Experience,,,,uh huh,,
,885,CD,,,,,,Touch,,,uh huh,,
,886,CB,,,,,,Mom,,,mmm hmm,,
,887,CI,,,,,,Isabelle,,,,,
,888,CL,,,,,,Smell,,,Do you want me to go outside and sit with her with my mask off,,
,889,CB,,,,,,Mom,,,mmm hmm,,
,890,CB,,,,,,Mom,,,mmm hmm,NC taste,
,891,CB,,,,,,Mom,,,yeah,,
,892,CF,,,,,,Hear,,,"uh huh, do you want me to listen",,
,893,CB,,,,,,Mom,,,uh huh ,tasting tea -suspicious on fingers,
TRUE,894,,,,,Yeah what's up,,,,,,NC Mom,
TRUE,895,,,,,,,,,,"Okay El, let's work on your spelling and your writing",rings bell between touches here and there,
,896,CH,,,,what's up,,Tillie,,,uh huh,,
,897,CI,,,,,,Isabelle,,,,,
,898,CF,,,,,,Hear,,,uh huh,NC touches,
,899,CL,,,,,,Smell,,,uh huh,,
,900,CE,,,,,,See ,,,,,
,901,CB,,,,,,Mom,,,mmm hmm,NC touches,
,902,CB,,,,,,Mom,,,mmm hmm,NC touches,
,903,CD,,,,,,Touch,,,"Okay, I'll go take care of them too. Let's do a lesson first, let's work on your writing","NC smell (Jen walks away, Ellie rings bell)",
TRUE,904,,,,,,,,,,,,
,905,I,20231122_220100,evening,Jen said she went really fast today (something about Issie) was in a hurry and Ellie didn't like that so here's what she said before the video started,,Descriptions and Preferences,,,,,,
,906,IC,,,,,Movement,,,,,,
,907,ICJ,,,,,,Slow,,,,,
,908,ICJ,,,,,,Slow,,,,,
,909,ICH,,,,,,Walk,,,,,
,910,ICG,,,,,,Sit,,,,,
,911,ICM,,,,,,Mom,,,,,
,912,ICM,,,,,,Mom,,,,,
,913,ICM,,,,,,Mom,,,,,
,914,ICG,,,,,,Sit,,,,,
,915,ICB,,,,,,Run,,,,"This is where video starts, but Ellie came to her shoulder & she said how'd that happen, we are supposed to be going to bed. ",
TRUE,916,,,,,,,,,,,,
,917,H,20231122_220239,evening,Need to go to bed but she did this not on video,,Memory and time,,,,,,
,918,HB,,,,,Time,,,,,,
,919,HBH,,,,,,Future,,,,,
,920,HBH,,,,,,Future,,,,,
,921,HBP,,,,,,Sad,,,,,
,922,HBC,,,,,,Yesterday,,,"Yeah, what's up. Do you want to do some more or are you done?",Apparently wanted treats so Jen turned off cam to get treats. ,
TRUE,923,,,,,,,,,,,,
,924,HBG,20231122_221057,evening,The rest of the touches not on video continued from previous session,,,Past,,,,,
,925,HBG,,,,,,Past,,,,,
,926,HBI,,,,,,Look at pictures,,,,,
,927,HBE,,,,,,Tomorrow,,,,,
,928,HBO,,,,,,Happy,,,,,
,929,HBH,,,,,,Future,,,,,
TRUE,930,,,,,,,,,,,,
,931,J,20231123_191946,evening,Not on video,,About me,,,,,,
,932,JE,,,,,Feeling,,,,,,
,933,JEC,,,,,,Excited,,,,video starts here,
,934,JECB,,,,,,I feel excited,,,Good you want to come sit with us? Come on.,They go sit together elsewhere. Jen navigates back to main.,
TRUE,935,,,,,,,,,,,,
,936,J,20231123_192446,evening,"First part not on video - no recap but appears to be about me, feelings, excited",Were you saying some stuff?,About me,,,,,,
,937,JE,,,,,Feeling,,,,,,
,938,JEC,,,,,Excited,,,,,,
,939,JECD,,,,,,I want to feel excited,,,,Video starts here,
TRUE,940,,,,,,,Like,,,"yeah, I'm glad",Jen navigates back to main,
,941,J,,,,What's up? You seem to have a lot you wan to say,About me,,,,,,
,942,JE,,,,,Feeling,,,,yeah,,
,943,JED,,,,,Mad,,,,,Ellie navigates back,
,944,JEA,,,,,Back,,,,,,
,945,J,,,,,About me,,,,,,
,946,JD,,,,,Body,,,,,Rapid touch didn't voice but registered,
,947,T2JDD,,,,,,Wing,,,,,
,948,T2JDG,,,,,,Body,,,,,"come back to this - not on the listed menu: in this video it has body in R then back, I feel good, ouch, medicine on 2nd row"
,949,T2JDI,,,,,,I feel good,,,"Yeah, glad to hear it",,
,950,T2JDH,,,,,,Back,,,"uh huh, how's your back? Do you mean in the past?","was eating a piece of corn and holding it on screen - looks like that was not the intended target, but then touched it intentionally next so maybe okay",
,951,T2JDH,,,,,,Back,,,,,
,952,T2JDI,,,,,,I feel good,,,I'm glad. Uh huh,Jen navigates back,
,953,D,,,,Do you want something else,To Play,,,,,,
,954,DB,,,,,,Snuggle,,,"Yeah, you want to do some snuggling",,
,955,DB,,,,,,Snuggle,,,,,
,956,DC,,,,,,Tracing and Writing,,,"You want to do some writing, okay",,
TRUE,957,,,,,,,,,,,,
,958,ADCEH,20231125_133357,afternoon,"Decorating for Christmas, Jen navigated to Talk About, Seasonal, Holidays Christmas","(~1:20 in) What's up Ellie? Goodbye Halloween, goodbye fall, it's winter. What do you think? (~3m) Goodbye Halloween, goodbye fall, hello santa, hello christmas",,Christmas music,,,Yeah we are playing Christmas music,,
,959,ADCDP,,,,,,Like,,,"Yeah, do you like Christmas music? (after some time) Thank you Ellie for sharing. Now we have Christmas music playing. ","Jen comments on decorations, keeping monsters up for Christmas, etc. ",
,960,ADCDN,,,,Do you want to touch some more? What do you think?,,Game,,,"Yeah, what do you think. Do you want to play a game?",Jen navigates to coloring game,
TRUE,961,,,,,,,,,,,,
,962,J,20231125_135147,afternoon,Not on video,,About me,,,,,,
,963,JE,,,,,Feeling,,,,,,
,964,JEB,,,,,Happy,,,,,,
,965,JEBD,,,Video starts here,,,I want to feel happy,,,Yeah,This is where the video starts,
,966,JEBD,,,,,,I want to feel happy,,,,2 NC I want to feel happy,
,967,JEBC,,,,,,I feel happy,,,I'm glad,,
,968,JEBC,,,,,,I feel happy,,,I'm glad. I'm going to go get some more xmas stuff,NC I want to feel happy,
,969,JEBC,,,,,,I feel happy,,,,,
,970,JEBC,,,,,,I feel happy,,,,,
,971,JEBD,,,,,,I want to feel happy,,,,Watches Jen through window,
TRUE,972,,,,,,,,,,,,
,973,A,20231125_140249,afternoon,Not on video - Jen shows screen and says she says all kinds of feel happy,,Talk about,,,,,Not sure if this is the whole day or a new session,
,974,AD,,,,,Seasonal,,,,,,
,975,ADC,,,,,Holidays,,,,,,
,976,ADCE,,,,,Christmas,,,,,,
,977,ADCEH,,,,,,Christmas music,,,,,
,978,ADCEH,,,,,,Christmas music,,,,,
,979,ADCEH,,,,,,Christmas music,,,,,
,980,ADCEQ,,,,,,Like,,,,,
,981,ADCEK,,,,,,Game,,,,,
,982,J,,,,,About me,,,,,,
,983,JE,,,,,Feeling,,,,,,
,984,JEB,,,,,,Happy,,,,,
,985,JEBD,,,,,,I want to feel happy,,,,,
,986,JEBD,,,,,,I want to feel happy,,,,,
,987,JEBD,,,,,,I want to feel happy,,,,,
,988,JEBC,,,,,,I feel happy,,,,,
,989,JEBC,,,,,,I feel happy,,,,,
,990,JEBC,,,,,,I feel happy,,,,,
,991,JEBD,,,,,,I want to feel happy,,,,,
,992,JEBC,,,,,,I feel happy,,,,,
,993,JEBC,,,,,,I feel happy,,,,,
,994,JEBD,,,,,,I want to feel happy,,,,Not on video summary end,
TRUE,995,,,,,,,,,,,,
,996,J,20231125_212827,evening,Not on video,,About me,,,,,,
,997,JD,,,,,Body,,,,,,
,998,T2JDH,,,,,,Back,,,,,
,999,JDJ,,,,,,Ouch,,,,,
,1000,JDI,,,,,,I feel good,,,Like she used to have an ouch but she's feeling good today?,,
,1001,JDJ,,,Video starts here,I'm going to go make some eggs and toast,,Ouch,,,Video starts here,,
,1002,JDJ,,,,,,Ouch,,,,,
,1003,JDI,,,,,,I feel good,,,,,
,1004,JDR,,,,,Types of ouch,,,,,,
,1005,JDRJ,,,,,,I feel ouch,,,,,
,1006,JDRE,,,,,,Sick ouch,,,Yeah?,,
,1007,JDRO,,,,"Okay, keep going (adjusts board) okay go for it",,Mom,,,yeah?,,
,1008,JDRE,,,,,,Sick ouch,,,,,
,1009,JDRE,,,,,,Sick ouch,,,"Do you have a little sick ouch today? -Okay I'll be right back guys, I'm going to go make eggs and toast.",,
,1010,JDRE,,,,"Ellie, you can keep talking if you want.",,Sick ouch,,,Okay,,
,1011,JDRO,,,,,,Mom,,,Yep,,
,1012,JDRJ,,,,,,I feel ouch,,,,"Looks at camera (AWWW) like where did mom go, sisters vocalizing",
,1013,JDRI,,,,,,I will feel ouch,,,,,
,1014,JDRI,,,,,,I will feel ouch,,,,"pacing, looking for Jen, making stress beeps",
,1015,JDRQ,,,,,,Isabelle,,,,,
,1016,JDRQ,,,,,,Isabelle,,,,"Goes to top of play stand, makes a couple noises, comes back, chews toes while Isabelle vocalizes",
,1017,JDI,,,"Jen comes back - gives toast, reads board, acknowledges Isabelle is yelling - navigates back one menu ",Do you want to talk about your ouch? What kind of ouch do you have? Do you have an ouch right now?,,I feel good,,,,,
,1018,JDI,,,,,,I feel good,,,"You feel okay, okay.",,
,1019,JDI,,,,,,I feel good,,,"Okay, do you want egg or toast?",offers both - Ellie eats egg,
TRUE,1020,,,,,,,,,,,,
,1021,J,20231125_214157,evening,not on video,,About me,,,,,,
,1022,JD,,,,,Body,,,,,Video starts after this,
,1023,JDI,,,video starts here,,,I feel good,,,"Yeah, I'm glad",,
,1024,JDJ,,,,,,Ouch,,,,"eats egg, climbs down",
TRUE,1025,,,,,,,,,,,,
,1026,J,20231126_215920,evening,not on video,,About me,,,,,video starts-3 NC touches feelings,
,1027,JD,,,video starts,You are all set? Here Elle.,Body,,,,yeah?,,
,1028,JDJ,,,,How are you feeling?,,Ouch,,,,,
,1029,JDI,,,,,,I feel good,,,,,
,1030,JDI,,,,,,I feel good,,,,,
,1031,JDI,,,,,,I feel good,,,yeah,"Jen navigates to Talk about, Yes and no",
,1032,AGC,,,,Did you have an ouch today?,,No,,,,,
,1033,AGB,,,,Did you have an ouch in the past,,Yes,,,,,
,1034,AGB,,,,Do you want to talk about your ouch? Do you want to talk about your ouch from the past?,,Yes,,,,NC No Yes ,
,1035,AGC,,,,Did you feel afraid about your ouch? Did your ouch make you feel afraid?,,No,,,,NC No Yes No,
,1036,AGC,,,,Did your ouch hurt? Did you have a big ouch?,,No,,,,NC Yes no,
,1037,AGC,,,,Did your ouch make you feel sad?,,No,,,,,
,1038,AGB,,,,,,Yes,,,,,
,1039,AGC,,,,Did your ouch make you feel sad?,,No,,,,,
,1040,AGB,,,,,,Yes,,,,,
,1041,AGC,,,,Did your ouch make you feel afraid,,No,,,,,
,1042,AGB,,,,,,Yes,,,,,
,1043,AGD,,,,,,I'm not sure,,,No,,
,1044,AGC,,,,Did your ouch make you feel mad? Did you feel mad about your ouch?,,No,,,No,2 NC Yes before no,
TRUE,1045,,,,,Did you feel sad about your ouch?,,,,,,3 NC Yes before ,
,1046,AGB,,,,Do you want some help? Did you feel sad about your ouch?,,Yes,,,,Jen went to help just as it voiced,
,1047,AGC,,,,,,No,,,,,
,1048,AGB,,,,,,Yes,,,,,
,1049,AGB,,,,Do you feel sad about your ouch today?,,Yes,,,"Okay, yeah, awww","2 NC Yes, no, yes",
,1050,AGB,,,,"Do you think, do you remember your ouch every day? Did you remember your ouch today? ",,Yes,,,,"NC no yes yes no, Jen adjusts board closer and then it voices",
,1051,AGC,,,,Do you remember your ouch today? Did you remember it and think about it?,,No,,,I think she pushed yes,2 NC Yes before no,
TRUE,1052,,,,Jen has Ellie put water on tongue to try again,Try now. did you remember your ouch today?,,,,,,NC Yes,
,1053,,,,,"Do you remember your ouch today, did you think about your ouch and remember it?",,No,,,,,
,1054,AGB,,,,,,Yes,,,,NC No,
,1055,AGC,,,,Did you think about and remember your ouch? ,,No,,,,I don't think she knows what think about means ,
,1056,AGB,,,,Did you remember about your ouch today?,,Yes,,,,NC No,
,1057,AGB,,,,,,Yes,,,,,
,1058,AGB,,,,,,Yes,,,,,
,1059,AGC,,,,,,No,,,I think you did yes,NC No,
,1060,AGB,,,,,,Yes,,,mmm hmm I think you did,,
,1061,AGB,,,,Do you want to write about your ouch?,,Yes,,,"Okay, let's write about your ouch","Jen navigates to writing, then goes back to talk about yes/no",
,1062,AGB,,,,"Do you feel happy that you feel better now? You learned some new things, do you feel happy that you feel better?",,Yes,,,yes,Jen still moving the board for first one,
,1063,,,,,,,No,,,,NC Yes,
,1064,AGB,,,,Do you feel happy that you feel better,,Yes,,,,,
,1065,,,,,,,No,,,,,
,1066,AGB,,,,,,Yes,,,,,
,1067,,,,,,,No,,,,,
,1068,AGB,,,,,,Yes,,,,,
,1069,,,,,,,No,,,,,
,1070,AGB,,,,,,Yes,,,,,
,1071,AGE,,,,,,Something else,,,Okay,Jen navigates back to main,
,1072,J,,,,,About me,,,,,,
,1073,JD,,,,,Body,,,,,,
,1074,JDC,,,,,,Tummy,,,,,
,1075,T2JDH,,,,,,Back,,,,,
,1076,JDI,,,,,,I feel good,,,yeah,,
,1077,JDI,,,,,,I feel good,,,,,
,1078,JDI,,,,,,I feel good,,,I'm glad to hear that,NCs,
,1079,JDL,,,,,,Medicine,,,yeah I have some medicine right here - treat medicine,,
,1080,JDLD,,,,,,Sick ouch antibiotics,,,,,
,1081,JDLD,,,,,,Sick ouch antibiotics,,,,,
,1082,JDLB,,,,,,Treat syringe,,,"yeah, you want the treat syringe see which one do you want you want the treat syringe I think",Ellie navigates back to main,
,1083,JDLA,,,,,Back,,,,,,
,1084,D,,,,,To play,,,,,,
,1085,DH,,,,,,Leaf wrestle,,,these are treats,NC typing,
,1086,DB,,,,,,Snuggle,,,"Yeah, let me get something on the playlist",,
,1087,DE,,,,,,Book,,,Do you want a Christmas book?,brings leaf wrestle napkin and plays.,
TRUE,1088,,,,,Okay what kind of book do you want. Do you want a Christmas book? We have some Christmas books.,,,,,,Jen navigates menu to Talk about Seasonal,
,1089,ADB,,,,What do you think?,Seasonal,,,,uh huh,several NC ,
,1090,ADBE,,,,,,Fall,,,"Yeah, do you want a fall book?",,
,1091,ADBEN,,,,,,Fall Cartoons,,,,,
,1092,ADBEN,,,,,,Fall Cartoons,,,"Yeah, we can watch cartoons tomorrow, you watched cartoons today also",Jen gives her choice of 2 and they read then do some writing,
TRUE,1093,,,,,,,,,,,,
,1094,J,20231128_210043,evening,Today is a bit off - Libby died today - a couple days of her being sick - turned on tablet and left and Ellie touched things not on video,,About me,,,,,,
,1095,J,,,,,About me,,,,,,
,1096,J,,,,,About me,,,,,,
,1097,JD,,,,,Body,,,,,,
,1098,JDE,,,,,,Wing,,,,,
,1099,JDE,,,,,,Wing,,,,,
,1100,JDJ,,,,,,Ouch,,,,,
,1101,JDJ,,,,,,Ouch,,,,,
,1102,JDJ,,,,,,Ouch,,,,,
,1103,JDI,,,,,,I feel good,,,,,
,1104,JDI,,,,,,I feel good,,,,,
,1105,JDI,,,,,,I feel good,,,,,
,1106,JDI,,,,,,I feel good,,,,,
,1107,JDI,,,,,,I feel good,,,,,
,1108,JDI,,,,,,I feel good,,,,Jen came in here (still not on video),
,1109,JDI,,,,,,Tummy ,,,,,
,1110,JDC,,,,,,Tummy ,,,,,
,1111,JDC,,,,,,Tummy ,,,,,
,1112,JDC,,,,,,Tummy ,,,,,
,1113,JDC,,,,,,Tummy ,,,,Jen told her Libby died and Jen had a big ouch and a big sad (and she pressed ouch ouch foot foot),
,1114,JDJ,,,,,,Ouch,,,,,
,1115,JDJ,,,,,,Ouch,,,,,
,1116,JDF,,,,,,Foot,,,,,
,1117,JDF,,,,,,Foot,,,Okay. Hi. Let's figure out what's going on with you.,Video starts here,
,1118,I,,,,Hi. Okay. Here we go. Hi.,Descriptions and preferences,,,,,,
,1119,IC,,,,,Movement,,,,,,
,1120,ICB,,,,,,Walk,,,,,
,1121,ICO,,,,,,Ellie,,,,,
,1122,ICB,,,,,,Run,,,Do you want to run with me?,"Jen walks away, comes back, doing other things",
,1123,ICB,,,,,,Run,,,Yeah? Do you want me to run?,Ellie navigates back,
,1124,ICA,,,,,Back,,,,,,
,1125,D,,,,,To Play,,,,,,
,1126,DB,,,,,,Snuggle,,,Okay do you want to run? Do you want to run with me?,Ellie gets on Jen's hand - they run,
,1127,DG,,,,,,Typing,,,"Yeah, do some writing, okay",,
TRUE,1128,DELETE,,,,,,T ,,,,,
TRUE,1129,DELETE,,,,,,L,,,,,
TRUE,1130,DELETE,,,,,,L,,,okay,,
TRUE,1131,DELETE,,,,TL like Tillie?,,T,,,,,
TRUE,1132,DELETE,,,,,,T,,,,,
TRUE,1133,DELETE,,,,,,T,,,,,
TRUE,1134,DELETE,,,,,,T,,,,they do writing for a while,
TRUE,1135,,,11:51,,How are you,,,,,,,
,1136,J,,,,,About me,,,,"Yeah, how are you",,
,1137,JE,,,,,Feeling,,,,,,
,1138,JED,,,,,Mad,,,,,,
,1139,JEDC,,,,,,I want to feel mad,,,I'm sorry,NC I will feel mad,
,1140,JEDG,,,,,,I felt mad,,,,,
,1141,JEDC,,,,,,I want to feel mad,,,,,
,1142,JEDC,,,,,,I want to feel mad,,,,,
,1143,JEDC,,,,,,I want to feel mad,,,I'm sorry. Thank you. ,"rapid presses, Ellie exits out of speech board, Jen notices and brings it to paint for writing, then writing wizard",
,1144,I,,26:32:00,,What's up,Descriptions and preferences,,,,yeah? Hold on. Let me just go like this,Jen adjusts tablet,
,1145,IB,,,,,Opposites,,,,,,
,1146,IBC,,,,,,High up,,,,,
,1147,IBG,,,,,,Broken,,,Yeah,,
,1148,IBG,,,,,,Broken,,,,,
,1149,IBC,,,,,,High up,,,,,
,1150,IBH,,,,,,Fixed,,,Oh. I haven't fixed it yet.,,
,1151,IBH,,,,,,Fixed,,,"I know, I know. You want me to fix the curtain.",,
,1152,IBC,,,,,,High up,,,,"Jen explains the curtain on Issie's window fell over, and she likes to sleep there",
,1153,IBE,,,,,,Big,,,,,
,1154,IBE,,,,,,Big,,,"I know, it is big",,
,1155,IBQ,,,,,,Easy,,,,,
,1156,IBE,,,,,,Big,,,,,
,1157,IBF,,,,,,Little,,,,,
,1158,IBE,,,,,,Big,,,"Okay, I'll see if I can fix it for you tonight, but Isabelle doesn't like it when you sleep there, so we'll have to talk about it.",,
,1159,IBL,,,,,,Out,,,,? can't see screen,
,1160,IBC,,,,,,High up,,,,,
,1161,IBC,,,,,,High up,,,"Yeah, it's broken. High up",,
,1162,IBL,,,,,,Out,,,Out?,,
,1163,IBE,,,,,,Big,,,,,
,1164,IBG,,,,,,Broken,,,yeah,,
,1165,IBH,,,,,,Fixed,,,"okay, you're doing great. Thank you for sharing.",,
,1166,IBG,,,,,,Broken,,,,,
,1167,IBJ,,,,,,Dark,,,"Yeah, when it's dark you like to sit up there",,
,1168,IBJ,,,,,,Dark,,,,,
,1169,IBI,,,,,,Light,,,,,
,1170,IBH,,,,,,Fixed,,,,,
,1171,IBC,,,,,,High up,,,Yeah,,
,1172,IBJ,,,,,,Dark,,,"I'll see what I can do, Ellie. High five",,
,1173,IBI,,,,,,Light,,,"Okay, yeah, light, okay",,
,1174,H,,,,Anything else?,Memory and time,,,,,,
,1175,HB,,,,,,Time,,,,,
,1176,HBC,,,,,,Yesterday,,,yeah,,
,1177,HBG,,,,,,Past,,,yeah,,
,1178,HBC,,,,,,Yesterday,,,,,
,1179,HBC,,,,,,Yesterday,,,,,
,1180,HBR,,,,,,Body,,,"Yeah, you want to talk about what happened yesterday with your body?","Jen navigates to Talk about, About me, Body",
,1181,T2JDH,,,,What happened yesterday?,,Back,,,uh huh,,
,1182,JDI,,,,What's up,,I feel good,,,,,
,1183,JDI,,,,,,I feel good,,,,,
,1184,T2JDH,,,,,,Back,,,,,
,1185,T2JDH,,,,,,Back,,,,,
,1186,JDI,,,,,,I feel good,,,"Okay good, I'm glad","Jen navigates back to Memory and Time, Time",
,1187,HBC,,,,,,Yesterday,,,"Yesterday you played outside for a long time. I think it was yesterday, I'm not sure.",,
,1188,HBC,,,,,,Yesterday,,,"It's kind of a blur. Yeah, and then what.",,
,1189,HBC,,,,,,Yesterday,,,uh huh,,
,1190,HBG,,,,,,Past,,,,,
,1191,HBP,,,,,,Sad,,,"Yeah, I feel sad, I did, I felt sad yesterday, I was worried did you feel sad too, yeah",,
,1192,HBD,,,,,,Today,,,,,
,1193,HBD,,,,,,Today,,,,,
,1194,HBL,,,,,,No like,,,No. I don't like. I don't like today either. I don't like today. Zero stars out of ten. ,,
,1195,HBC,,,,,,Yesterday,,,mmm hmm,,
,1196,HBE,,,,What's up,,Tomorrow,,,"Tomoorow I think is going to be happy. Tomorrow, we're going to play and have fun. Yep. Tomorrow I think is going to have fun. What do you think.",,
,1197,HBC,,,,What do you think about tomorrow?,,Yesterday,,,uh huh,,
,1198,HBC,,,,,,Yesterday,,,uh huh,Jen cleans screan,
,1199,HBC,,,,,,Yesterday,,,,,
,1200,HBP,,,,,,Sad,,,I'm sorry you were sad yesterday,,
,1201,HBC,,,,,,Yesterday,,,,,
,1202,HBC,,,,,,Yesterday,,,I don't actually remember yesterday. I don't remember yesterday. Did you play outside?,,
,1203,HBC,,,,,,Yesterday,,,,,
,1204,HBC,,,,,,Yesterday,,,,,
,1205,HBC,,,,,,Yesterday,,,,,
,1206,HBG,,,,,,Past,,,"Yeah. I don't remember. When Mom feels big sad, sometimes Mom doesn't remember. I felt big sad yesterday and today. ",,
,1207,HBC,,,,,,Yesterday,,,Yeah ,,
,1208,HBC,,,,,,Yesterday,,,mmm hmm,,
,1209,HBC,,,,,,Yesterday,,,and then what,,
,1210,HBC,,,,Yesterday what? Do you want apple? You used to like apple. What's up?,,Yesterday,,,uh huh,,
,1211,HBG,,,,,,Past,,,yeah. I'm sorry you felt sad yesterday. I wish that you never felt sad. But sometimes (undetectible) I'm so sorry. I wish it wasn't that way.,,
,1212,HBC,,,,,,Yesterday,,,Yeah,,
,1213,HBC,,,,,,Yesterday,,,I'm sorry that you felt sad. Let's go hang out together.,,
TRUE,1214,,,,,,,,,,,,
,1215,HBI,20231129_110719,morning,"Showed pics of Libby, opened speech board, navigated to Memory and Time",What do you think?,,Look at pictures,,,"Yeah, do you want to look at pictures again. ",Ellie opened fish cartoons,
TRUE,1216,,,,,,,,,,,,
,1217,J,20231130_110629,morning,not on video,,About me,,,,,"She walked up, turned it on and said that",
TRUE,1218,,,,,,,,,,,,
,1219,J,20231130_204020,evening,,"How are you, hi",About me,,,,uh huh,,
,1220,JC,,,,,Temperature,,,,,,
,1221,JCD,,,,,Warm,,,,It is really warm in here. I think it must be 82.,,
,1222,JCDC,,,,,,I want to feel warm,,,,,
,1223,JCDI,,,,,,Warm outside,,,,,
,1224,JCDK,,,,,,Talk about,,,It's warm inside,,
,1225,JCDC,,,,,,I want to feel warm,,,,,
,1226,JCDC,,,,,,I want to feel warm,,,,,
,1227,JCDC,,,,,,I want to feel warm,,,,,
,1228,JCDC,,,,,,I want to feel warm,,,alright,turns alexa volume down,
,1229,JCDC,,,,uh huh,,I want to feel warm,,,"I'm so glad, it's actually warm inside","Jen presses warm inside multiple times, adjusts tablet stand",
,1230,JCDB,,,,,,I feel warm,,,I'm glad,,
,1231,JCDK,,,,Do you like it? Do you like feeling warm?,,Talk about,,,yeah it's a nice temperature,Jen navigates to talk about yes and no,
,1232,AGB,,,,Do you like the temperature?,,Yes,,,"Yeah, it's nice",,
,1233,AGB,,,,Is it warm inside?,,Yes,,,yeah,,
,1234,AGB,,,,Do you think it's warm outside,,Yes,,,,,
,1235,AGB,,,,Do you think it's warm outside,,Yes,,,,,
,1236,AGC,,,,,,No,,,,,
,1237,AGB,,,,,,Yes,,,,Ellie navigates to main,
,1238,J,,,,,About me,,,,uh huh,,
,1239,JC,,,,,Temperature,,,,yeah,,
,1240,J,,,,,About me,,,,,,
,1241,JD,,,,,Body,,,,,,
,1242,JDE,,,,,,Wing,,,yeah,,
,1243,JDI,,,,,,I feel good,,,yeah,,
,1244,JDJ,,,,What's up,,Ouch,,,mmm hmm what about your ouch,,
,1245,T2JDH,,,,What about your ouch,,Back,,,,,Back for past?
,1246,JDI,,,,,,I feel good,,,You had an ouch in the past but you feel good now?,Jen navigates to Talk About Yes and No,
,1247,AGB,,,,Do you have an ouch today? (NC yes) Do you have an ouch?,,Yes,,,Yeah,,
,1248,AGB,,,,Do you have an ouch in the past?,,Yes,,,Yeah,Ellie navigates back to main,
,1249,AGA,,,,,Back,,,,,,
,1250,C,,,,Didyou have an ouch today,Experience,,,,mmm hmm,NC Mom,
,1251,CG,,,,,,Ellie,,,,,
,1252,CG,,,,,,Ellie,,,Yeah,,
,1253,CB,,,,,,Mom,,,mmm hmm,,
,1254,CD,,,,,,Touch,,,,,
,1255,CH,,,,,,Tillie,,,,,
,1256,CB,,,,,,Mom,,,do you want to sit with Tillie,,
,1257,CK,,,,"Uh huh, what's up? Go for it what's up",,Taste,,,,,
,1258,CL,,,,,,Smell,,,"I can't take off my mask, but I'll give her a little treat. (Tillie was asleep and Jen woke her up.",,
,1259,CI,,,,,,Isabelle,,,Give her a bite too?,,
,1260,CJ,,,,,,Read,,,,Jen goes to give Issie bite,
